title,rating,runtime,imdb_rating,genre,release_year,description,director,votes,stars,type
Instant Family,PG-13,1hr 58 mins,7.3,"Comedy, Drama",2018,A couple find themselves in over their heads when they foster three children.,Sean Anders,116777,"Mark Wahlberg, Rose Byrne, Isabela Merced, Gustavo Escobar, ",Movie
Tokyo Godfathers,PG-13,1hr 32 mins,7.8,"Animation, Adventure, Comedy",2003,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",Satoshi Kon,45091,"Tôru Emori, Yoshiaki Umegaki, Aya Okamoto, Shôzô Îzuka, ",Movie
The Apartment,Approved,2hr 5 mins,8.3,"Comedy, Drama, Romance",1960,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Billy Wilder,192532,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, ",Movie
A Princess for Christmas,TV-G,1hr 31 mins,6.3,"Comedy, Drama, Family",2011,"At the invitation of an estranged relative, a young woman travels with her niece and nephew to a castle in Europe for Christmas, where she unwittingly falls for a dashing Prince.",Michael Damian,9035,"Katie McGrath, Roger Moore, Sam Heughan, Travis Turner, ",Movie
Almost Christmas,PG-13,1hr 51 mins,6.1,"Comedy, Drama, Romance",2016,A dysfunctional family gathers together for their first Christmas since their mom died.,David E. Talbert,7664,"Kimberly Elise, Omar Epps, Danny Glover, Mo'Nique, ",Movie
Noel,PG,1hr 36 mins,6.1,Drama,2004,"Five New Yorkers come together on Christmas Eve, seeking a miracle.",Chazz Palminteri,10473,"Susan Sarandon, Penélope Cruz, Paul Walker, Alan Arkin, ",Movie
The Snowman,G,26 mins,8.2,"Animation, Adventure, Family",1982,"On Christmas Eve, a young boy builds a snowman that comes to life and takes him to the North Pole to meet Father Christmas.",Jimmy T. Murakami,16254,"Dianne Jackson, David Bowie, Raymond Briggs, Mel Smith, ",Movie
Mickey's Christmas Carol,G,26 mins,8.0,"Animation, Short, Comedy",1983,The classic Disney animated characters play the roles in this animated retelling of the Charles Dickens masterpiece.,Burny Mattinson,14813,"Alan Young, Wayne Allwine, Hal Smith, Will Ryan, ",Movie
Going My Way,Passed,2hr 6 mins,7.0,"Comedy, Drama, Music",1944,"When young Father O'Malley arrives at St. Dominic's, old Father Fitzgibbon doesn't think much of the church's newest member.",Leo McCarey,13137,"Bing Crosby, Barry Fitzgerald, Frank McHugh, James Brown, ",Movie
Bell Book and Candle,Approved,1hr 46 mins,6.8,"Comedy, Fantasy, Romance",1958,"A modern-day witch likes her neighbor but despises his fiancée, so she enchants him to love her instead.",Richard Quine,12635,"James Stewart, Kim Novak, Jack Lemmon, Ernie Kovacs, ",Movie
